Timestamps,AWS/EC2 NetworkIn,AWS/EC2 NetworkOut,System/Linux MemoryUtilization,AWS/EC2 CPUUtilization
2019-10-04 07:20:00+00:00,3421.0,2733.0,0,0.166666666667273
2019-10-04 07:25:00+00:00,758.0,28.0,0,0.0
2019-10-04 07:30:00+00:00,56.0,28.0,0,0.0
2019-10-04 07:35:00+00:00,56.0,28.0,0,0.166666666667273
2019-10-04 07:40:00+00:00,568.0,458.0,0,0.0
2019-10-04 07:45:00+00:00,1569.0,2165.0,0,0.163934426228614
2019-10-04 07:50:00+00:00,1783.0,2253.0,0,0.0
2019-10-04 07:55:00+00:00,56.0,28.0,0,0.0
2019-10-04 08:00:00+00:00,2312.0,2969.0,0,0.163934426230105
2019-10-04 08:05:00+00:00,16512.0,7442.0,0,0.169491525422804
2019-10-04 08:10:00+00:00,4110.0,2561.0,0,0.0
2019-10-04 08:15:00+00:00,1892.0,28.0,0,0.166666666667273
2019-10-04 08:20:00+00:00,1784.0,28.0,0,0.0
2019-10-04 08:25:00+00:00,1730.0,28.0,0,0.163934426230105
2019-10-04 08:30:00+00:00,1568.0,28.0,0,0.0
2019-10-04 08:35:00+00:00,4362.0,1949.0,0,0.169491525422804
2019-10-04 08:40:00+00:00,3401.0,2595.0,0,0.0
2019-10-04 08:45:00+00:00,1676.0,84.0,0,0.166666666667273
2019-10-04 08:50:00+00:00,1676.0,28.0,0,0.0
2019-10-04 08:55:00+00:00,1730.0,28.0,0,0.0
2019-10-04 09:00:00+00:00,2288.0,483.0,0,0.166666666665757
2019-10-04 09:05:00+00:00,2621.0,1497.0,0,0.0
2019-10-04 09:10:00+00:00,2434.0,458.0,0,0.166666666667273
2019-10-04 09:15:00+00:00,3569.0,2733.0,0,0.0
2019-10-04 09:20:00+00:00,1892.0,28.0,0,0.163934426230105
2019-10-04 09:25:00+00:00,2270.0,28.0,0,0.0
2019-10-04 09:30:00+00:00,1838.0,28.0,0,0.169491525422804
